Study,Phase,Region,Metabolite,Mean,SE,n,SourceFile,publication_year,art_era,art_era_idx,phase_norm,study,study_id,naa_cr_mean,cho_cr_mean,naa_cr_se,mu_fitted_mean
Young_2014,Acute,AC,NAA/Cr,1.28,0.009,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,acute,Young_2014,3,1.28,,0.009,1.2791654585896675
Young_2014,Acute,BG,NAA/Cr,1.15,0.01,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,acute,Young_2014,3,1.15,,0.01,1.2791654585896675
Young_2014,Acute,FWM,NAA/Cr,1.35,0.01,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,acute,Young_2014,3,1.35,,0.01,1.2791654585896675
Sailasuta et al. 2016,Chronic,BG,NAA/Cr,1.0,0.03,26,bg_combined_with_winston_dahmani.csv,,unknown,-1,chronic,Sailasuta et al. 2016,1,1.0,,0.03,1.0616030686269669
Mohamed et al. 2010,Chronic,BG,NAA/Cr,1.0,0.09,26,bg_combined_with_winston_dahmani.csv,,unknown,-1,chronic,Mohamed et al. 2010,0,1.0,,0.09,1.0500496080986117
Sailasuta_2012,Chronic,OGM,NAA/Cr,1.415,0.023533936216582,26,Sailasuta_2012.csv,,unknown,-1,chronic,Sailasuta_2012,2,1.415,,0.023533936216582,1.3101613404039971
Young_2014,Chronic,FWM,NAA/Cr,1.15,0.013,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,chronic,Young_2014,3,1.15,,0.013,1.1868857901432521
Young_2014,Chronic,PGM,NAA/Cr,1.25,0.017,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,chronic,Young_2014,3,1.25,,0.017,1.1868857901432521
Young_2014,Control,FWM,NAA/Cr,1.35,0.024,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,control,Young_2014,3,1.35,,0.024,1.3078166876305124
Young_2014,Control,AC,NAA/Cr,1.22,0.019,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,control,Young_2014,3,1.22,,0.019,1.3078166876305124
Mohamed et al. 2010,Control,BG,NAA/Cr,1.08,0.11,18,bg_combined_with_winston_dahmani.csv,,unknown,-1,control,Mohamed et al. 2010,0,1.08,,0.11,1.158371471550851
Sailasuta_2012,Control,OGM,NAA/Cr,1.428,0.0379473319220205,10,Sailasuta_2012.csv,,unknown,-1,control,Sailasuta_2012,2,1.428,,0.0379473319220205,1.4435889298823612
Young_2014,Control,PGM,NAA/Cr,1.4,0.02,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,control,Young_2014,3,1.4,,0.02,1.3078166876305124
