Phase,study,art_era,NAA_mean_observed,NAA_SE_observed,NAA_mean_predicted
Acute,Young_2014,unknown,1.28,0.009,1.2722086985851322
Acute,Young_2014,unknown,1.15,0.01,1.2722866246086317
Acute,Young_2014,unknown,1.35,0.01,1.272011880727091
Acute,Sailasuta et al. 2016,unknown,1.13,0.03,1.1259335275132558
Acute,Young_2014,unknown,1.3,0.009,1.2723146844383604
Chronic,Sailasuta et al. 2016,unknown,1.0,0.03,1.0250657589746848
Chronic,Mohamed et al. 2010,unknown,1.0,0.09,1.0831467403427224
Chronic,Sailasuta_2012,unknown,1.415,0.023533936216582,1.3775349942856574
Chronic,Young_2014,unknown,1.15,0.013,1.1573457791080595
Control,Young_2014,unknown,1.35,0.024,1.258806158657305
Control,Young_2014,unknown,1.22,0.019,1.258485197599599
Control,Mohamed et al. 2010,unknown,1.08,0.11,1.1769594172587554
Control,Sailasuta_2012,unknown,1.428,0.0379473319220205,1.4964666661121777
