Phase,study,art_era,NAA_mean_observed,NAA_SE_observed,NAA_mean_predicted
Acute,Young_2014,post_modern,1.28,0.009,1.2723506457213645
Acute,Young_2014,post_modern,1.15,0.01,1.2722659639744252
Acute,Young_2014,post_modern,1.35,0.01,1.2720589262703659
Acute,Sailasuta et al. 2016,post_modern,1.13,0.03,1.1255817668547716
Acute,Young_2014,post_modern,1.3,0.009,1.2723536214091165
Chronic,Sailasuta et al. 2016,post_modern,1.0,0.03,1.025214357691103
Chronic,Mohamed et al. 2010,post_modern,1.0,0.09,1.0735630479449696
Chronic,Sailasuta_2012,post_modern,1.415,0.023533936216582,1.3754409018595537
Chronic,Young_2014,post_modern,1.15,0.013,1.1578661390709204
Control,Young_2014,post_modern,1.35,0.024,1.257541746089189
Control,Young_2014,post_modern,1.22,0.019,1.2582266694772297
Control,Mohamed et al. 2010,post_modern,1.08,0.11,1.1670811390996718
Control,Sailasuta_2012,post_modern,1.428,0.0379473319220205,1.494566387270682
