Phase,study,art_era,NAA_mean_observed,NAA_SE_observed,NAA_mean_predicted
Acute,Young_2014,post_modern,1.28,0.009,1.2724291438283168
Acute,Young_2014,post_modern,1.15,0.01,1.272555075164443
Acute,Young_2014,post_modern,1.35,0.01,1.2723305767042967
Acute,Sailasuta et al. 2016,post_modern,1.13,0.03,1.1264114388432056
Acute,Young_2014,post_modern,1.3,0.009,1.2723902594912953
Chronic,Sailasuta et al. 2016,post_modern,1.0,0.03,1.0246543087370545
Chronic,Mohamed et al. 2010,post_modern,1.0,0.09,1.0731697259485555
Chronic,Sailasuta_2012,post_modern,1.415,0.023533936216582,1.37508749019396
Chronic,Young_2014,post_modern,1.15,0.013,1.1580785627913812
Control,Young_2014,post_modern,1.35,0.024,1.2574716897048668
Control,Young_2014,post_modern,1.22,0.019,1.258033360790246
Control,Mohamed et al. 2010,post_modern,1.08,0.11,1.1668845723392816
Control,Sailasuta_2012,post_modern,1.428,0.0379473319220205,1.4937451914622804
