Phase,study,art_era,NAA_mean_observed,NAA_SE_observed,NAA_mean_predicted
Acute,Young_2014,post_modern,1.28,0.009,1.2725898404824203
Acute,Young_2014,post_modern,1.15,0.01,1.2720221045041087
Acute,Young_2014,post_modern,1.35,0.01,1.271987231081041
Acute,Sailasuta et al. 2016,post_modern,1.13,0.03,1.1264777995619881
Acute,Young_2014,post_modern,1.3,0.009,1.2723206249758499
Chronic,Sailasuta et al. 2016,post_modern,1.0,0.03,1.0249961554371312
Chronic,Mohamed et al. 2010,post_modern,1.0,0.09,1.073456427900772
Chronic,Sailasuta_2012,post_modern,1.415,0.023533936216582,1.3744315753213447
Chronic,Young_2014,post_modern,1.15,0.013,1.158733630072548
Control,Young_2014,post_modern,1.35,0.024,1.2579413322457549
Control,Young_2014,post_modern,1.22,0.019,1.2584817195544094
Control,Mohamed et al. 2010,post_modern,1.08,0.11,1.1634806775988573
Control,Sailasuta_2012,post_modern,1.428,0.0379473319220205,1.4940124481447152
