Study,Phase,Region,Metabolite,Mean,SE,n,SourceFile
Sailasuta,Acute,BG,NAA,1.134,0.02514474228374849,31,MASTER_HIV_MRS_DATABASE_v2.csv
Young_2014,Acute,AC,mI/Cr,0.95,0.0217,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Acute,AC,NAA/Cr,1.28,0.009,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young,Acute,BG,NAA,1.125,0.06666666666666667,9,MASTER_HIV_MRS_DATABASE_v2.csv
Young_2014,Chronic,AC,Cho/Cr,0.3,0.0146,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Sailasuta et al. 2016,Chronic,BG,NAA/Cr,1.0,0.03,26,bg_combined_with_winston_dahmani.csv
Young_2014,Chronic,PGM,Cho/Cr,0.19,0.0058,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Mohamed et al. 2010,Chronic,BG,NAA/Cr,1.0,0.09,26,bg_combined_with_winston_dahmani.csv
Sailasuta_2012,Chronic,OGM,NAA/Cr,1.415,0.023533936216582,26,Sailasuta_2012.csv
Young_2014,Chronic,FWM,NAA/Cr,1.15,0.013,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,PGM,NAA/Cr,1.25,0.017,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,FWM,Cho/Cr,0.3,0.0129,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,FWM,NAA/Cr,1.35,0.024,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,AC,NAA/Cr,1.22,0.019,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Mohamed et al. 2010,Control,BG,NAA/Cr,1.08,0.11,18,bg_combined_with_winston_dahmani.csv
Sailasuta_2012,Control,OGM,NAA/Cr,1.428,0.0379473319220205,10,Sailasuta_2012.csv
