Sailasuta_2012_NAA/Cr Ratio
Study,First_Author,Year,Group,n,Disease_Duration_Days,CD4,VL_Log10,Brain_Region,Metabolite,Value,SD,Measurement_Type,P_vs_Control,Notes
Sailasuta,Sailasuta,2012,Acute,31,14,428,5.51,BG,NAA,1.134,0.14,Ratio_to_Cr,0.552,HYPERACUTE - PROTECTED vs controls
Sailasuta,Sailasuta,2012,Chronic,26,NA,215,4.75,BG,NAA,1.000,0.14,Ratio_to_Cr,0.014,DECLINED vs controls
Sailasuta,Sailasuta,2012,Control,10,0,NA,NA,BG,NAA,1.077,0.13,Ratio_to_Cr,NA,Baseline reference
Sailasuta,Sailasuta,2012,Acute,31,14,428,5.51,BG,tCho,0.249,0.02,Ratio_to_Cr,0.002,Elevated - inflammation
Sailasuta,Sailasuta,2012,Chronic,26,NA,215,4.75,BG,tCho,0.233,0.02,Ratio_to_Cr,0.001,Elevated - chronic inflammation
Sailasuta,Sailasuta,2012,Control,10,0,NA,NA,BG,tCho,0.227,0.01,Ratio_to_Cr,NA,Baseline
Sailasuta,Sailasuta,2012,Acute,31,14,428,5.51,BG,MI,0.580,0.13,Ratio_to_Cr,0.898,No glial activation yet
Sailasuta,Sailasuta,2012,Chronic,26,NA,215,4.75,BG,MI,0.560,0.12,Ratio_to_Cr,0.689,
Sailasuta,Sailasuta,2012,Control,10,0,NA,NA,BG,MI,0.589,0.09,Ratio_to_Cr,NA,
Sailasuta,Sailasuta,2012,Acute,31,14,428,5.51,BG,Glx,1.963,0.34,Ratio_to_Cr,0.062,Trend toward elevation
Sailasuta,Sailasuta,2012,Chronic,26,NA,215,4.75,BG,Glx,1.807,0.23,Ratio_to_Cr,0.146,
Sailasuta,Sailasuta,2012,Control,10,0,NA,NA,BG,Glx,1.812,0.22,Ratio_to_Cr,NA,
Sailasuta,Sailasuta,2012,Acute,31,14,428,5.51,OGM,NAA,1.416,0.13,Ratio_to_Cr,0.958,Also protected in OGM
Sailasuta,Sailasuta,2012,Chronic,26,NA,215,4.75,OGM,NAA,1.415,0.12,Ratio_to_Cr,0.123,Preserved in OGM unlike BG
Sailasuta,Sailasuta,2012,Control,10,0,NA,NA,OGM,NAA,1.428,0.12,Ratio_to_Cr,NA,
