,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.006,0.581,-3.149,-0.872,0.006,0.004,9420.0,7253.0,1.0
ξ_acute,0.608,0.092,0.434,0.786,0.001,0.001,8137.0,6837.0,1.0
ξ_chronic,0.808,0.122,0.565,1.035,0.001,0.001,8678.0,7290.0,1.0
ξ_control,0.506,0.076,0.366,0.655,0.001,0.001,8653.0,6990.0,1.0
r_NAA_ratio_baseline,1.31,0.022,1.269,1.356,0.0,0.0,4216.0,5059.0,1.0
α_acute,0.876,0.016,0.844,0.908,0.0,0.0,4412.0,5252.0,1.0
α_chronic,0.859,0.017,0.826,0.893,0.0,0.0,4320.0,5364.0,1.0
Cho_ratio_baseline,0.222,0.003,0.217,0.227,0.0,0.0,8948.0,6745.0,1.0
σ_naa_acute,0.16,0.12,0.0,0.392,0.001,0.001,5515.0,2836.0,1.0
σ_cho_acute,0.079,0.06,0.0,0.197,0.001,0.0,5054.0,2538.0,1.0
NAA_ratio_control_mean,1.31,0.022,1.269,1.356,0.0,0.0,4216.0,5059.0,1.0
NAA_ratio_acute_mean,1.147,0.009,1.13,1.164,0.0,0.0,12168.0,7727.0,1.0
NAA_ratio_chronic_mean,1.124,0.012,1.101,1.147,0.0,0.0,13602.0,8004.0,1.0
Δξ,0.201,0.151,-0.093,0.505,0.002,0.001,8468.0,7291.0,1.0
