,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ξ_acute,0.598,0.098,0.402,0.791,0.001,0.001,7215.0,4201.0,1.0
ξ_chronic,0.801,0.1,0.608,0.999,0.001,0.001,7674.0,4377.0,1.0
ξ_control,0.499,0.05,0.399,0.597,0.001,0.0,7539.0,4536.0,1.0
β_ξ,-2.0,0.494,-2.994,-1.065,0.005,0.004,9066.0,4875.0,1.0
r_NAA_ratio_baseline,1.141,0.054,1.038,1.249,0.001,0.001,4628.0,4366.0,1.0
α_acute,1.0,0.048,0.902,1.09,0.001,0.0,4604.0,4627.0,1.0
α_chronic,0.913,0.041,0.838,0.993,0.0,0.0,7150.0,3337.0,1.0
Cho_ratio_baseline,0.218,0.003,0.212,0.224,0.0,0.0,8005.0,6019.0,1.0
σ_naa_acute,0.097,0.008,0.084,0.113,0.0,0.0,8129.0,5718.0,1.0
σ_cho_acute,0.032,0.002,0.027,0.037,0.0,0.0,8525.0,5957.0,1.0
NAA_ratio_control_mean,1.141,0.054,1.038,1.249,0.001,0.001,4628.0,4366.0,1.0
NAA_ratio_acute_mean,1.138,0.011,1.117,1.158,0.0,0.0,8398.0,5091.0,1.0
NAA_ratio_chronic_mean,1.04,0.061,0.918,1.155,0.001,0.001,6700.0,5373.0,1.0
Δξ,0.203,0.14,-0.063,0.488,0.002,0.001,8497.0,5231.0,1.0
