,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ξ_acute,0.601,0.097,0.418,0.803,0.001,0.001,9111.0,4152.0,1.0
ξ_chronic,0.8,0.097,0.603,0.979,0.001,0.001,9265.0,4623.0,1.0
ξ_control,0.5,0.051,0.394,0.595,0.001,0.0,8936.0,4644.0,1.0
β_ξ,-1.995,0.497,-2.93,-0.972,0.005,0.004,9708.0,4654.0,1.0
r_NAA_ratio_baseline,1.132,0.055,1.03,1.246,0.001,0.001,5479.0,4844.0,1.0
α_acute,0.969,0.048,0.873,1.059,0.001,0.0,5444.0,4406.0,1.0
α_chronic,0.913,0.042,0.837,0.993,0.0,0.0,8819.0,4259.0,1.0
Cho_ratio_baseline,0.209,0.001,0.206,0.212,0.0,0.0,9102.0,5468.0,1.0
σ_naa_acute,0.143,0.006,0.13,0.155,0.0,0.0,9612.0,5500.0,1.0
σ_cho_acute,0.027,0.001,0.025,0.029,0.0,0.0,9919.0,5729.0,1.0
NAA_ratio_control_mean,1.132,0.055,1.03,1.246,0.001,0.001,5479.0,4844.0,1.0
NAA_ratio_acute_mean,1.094,0.009,1.077,1.112,0.0,0.0,8287.0,4470.0,1.0
NAA_ratio_chronic_mean,1.033,0.062,0.916,1.153,0.001,0.0,7772.0,5786.0,1.0
Δξ,0.199,0.138,-0.087,0.453,0.001,0.001,9050.0,4864.0,1.0
