,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
η_t_per24w_aux,-0.014,0.05,-0.113,0.084,0.002,0.001,1131.0,1058.0,1.0
μ_valcour_base,1.078,0.032,1.018,1.146,0.001,0.001,1102.0,1043.0,1.0
σ_valcour_week_aux,0.031,0.022,0.0,0.074,0.001,0.0,898.0,918.0,1.0
Aux_Valcour_delta_week[0],1.0,0.0,1.0,1.0,0.0,0.0,4000.0,4000.0,
Aux_Valcour_delta_week[1],0.998,0.008,0.981,1.014,0.0,0.0,1131.0,1058.0,1.0
Aux_Valcour_delta_week[2],0.993,0.025,0.944,1.042,0.001,0.001,1131.0,1058.0,1.0
Aux_Valcour_delta_week[3],0.987,0.05,0.891,1.086,0.002,0.001,1131.0,1058.0,1.0
Aux_Valcour_pred_week[0],1.078,0.032,1.018,1.146,0.001,0.001,1102.0,1043.0,1.0
Aux_Valcour_pred_week[1],1.075,0.026,1.023,1.128,0.001,0.001,1273.0,1165.0,1.0
Aux_Valcour_pred_week[2],1.07,0.023,1.022,1.116,0.0,0.0,2508.0,1974.0,1.0
Aux_Valcour_pred_week[3],1.063,0.038,0.986,1.141,0.001,0.001,1947.0,1598.0,1.0
