,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.01,0.603,-3.184,-0.859,0.006,0.004,9645.0,6906.0,1.0
ξ_acute,0.608,0.092,0.432,0.786,0.001,0.001,10643.0,7435.0,1.0
ξ_chronic,0.809,0.122,0.579,1.047,0.001,0.001,9995.0,7230.0,1.0
ξ_control,0.506,0.077,0.359,0.654,0.001,0.001,10420.0,7302.0,1.0
r_NAA_ratio_baseline,1.31,0.022,1.265,1.352,0.0,0.0,4871.0,5896.0,1.0
α_acute,0.841,0.015,0.812,0.872,0.0,0.0,4961.0,6235.0,1.0
α_chronic,0.859,0.017,0.825,0.892,0.0,0.0,5183.0,6375.0,1.0
Cho_ratio_baseline,0.211,0.001,0.208,0.214,0.0,0.0,9798.0,6700.0,1.0
σ_naa_acute,0.127,0.009,0.109,0.144,0.0,0.0,7234.0,6437.0,1.0
σ_cho_acute,0.027,0.001,0.025,0.029,0.0,0.0,10283.0,7448.0,1.0
ν_naa,9.868,7.346,1.233,24.423,0.085,0.06,7334.0,7204.0,1.0
NAA_ratio_control_mean,1.31,0.022,1.265,1.352,0.0,0.0,4871.0,5896.0,1.0
NAA_ratio_acute_mean,1.101,0.008,1.084,1.116,0.0,0.0,10580.0,7820.0,1.0
NAA_ratio_chronic_mean,1.124,0.012,1.101,1.147,0.0,0.0,12692.0,7856.0,1.0
Δξ,0.201,0.154,-0.084,0.516,0.002,0.001,9907.0,6873.0,1.0
