Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.1236463496476827,1.1011691030559096,1.1467670252979256,-0.12364634964768273,-1.373848329418697
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.309638860875986,1.2645498810126374,1.3521631545339483,-0.22963886087598584,-2.087626007963508
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.1005954192014036,1.0841414576933646,1.1164210257309497,0.029404580798596314,0.9801526932865439
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.1236463496476827,1.1011691030559096,1.1467670252979256,-0.12364634964768273,-4.121544988256091
Young_2014,Control,NAA/Cr,1.35,0.024,19,1.309638860875986,1.2645498810126374,1.3521631545339483,0.04036113912401418,1.6817141301672573
Young_2014,Control,Cho/Cr,0.3,0.0142,19,,,,,
Young_2014,Chronic,NAA/Cr,1.15,0.013,18,1.1236463496476827,1.1011691030559096,1.1467670252979256,0.02635365035231718,2.027203873255168
Young_2014,Chronic,Cho/Cr,0.3,0.0129,18,,,,,
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.309638860875986,1.2645498810126374,1.3521631545339483,0.090361139124014,4.5180569562007
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.1236463496476827,1.1011691030559096,1.1467670252979256,0.12635365035231727,7.432567667783369
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Young_2014,Control,NAA/Cr,1.22,0.019,19,1.309638860875986,1.2645498810126374,1.3521631545339483,-0.08963886087598594,-4.717834782946628
Young_2014,Control,Cho/Cr,0.29,0.0062,19,,,,,
Young_2014,Chronic,NAA/Cr,1.1,0.023,18,1.1236463496476827,1.1011691030559096,1.1467670252979256,-0.02364634964768264,-1.0281021585948975
Young_2014,Chronic,Cho/Cr,0.3,0.0146,18,,,,,
Sailasuta_2012,Chronic,NAA/Cr,1.415,0.023533936216582084,26,1.1236463496476827,1.1011691030559096,1.1467670252979256,0.2913536503523173,12.380149570857961
Sailasuta_2012,Control,NAA/Cr,1.428,0.03794733192202055,10,1.309638860875986,1.2645498810126374,1.3521631545339483,0.11836113912401403,3.1190898840329258
