,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
η_t_per24w_aux_plasma,-0.046,0.073,-0.191,0.109,0.002,0.002,1055.0,1063.0,1.01
η_vl_per_log10_aux_plasma,-0.007,0.019,-0.045,0.031,0.001,0.0,1072.0,1145.0,1.01
μ_valcour_base_plasma,1.316,0.048,1.219,1.41,0.001,0.001,1044.0,1103.0,1.01
σ_valcour_week_aux_plasma,0.033,0.027,0.0,0.086,0.001,0.001,782.0,643.0,1.0
Aux_Valcour_delta_week_plasma[0],0.984,0.046,0.896,1.077,0.001,0.001,1072.0,1145.0,1.01
Aux_Valcour_delta_week_plasma[1],0.995,0.009,0.978,1.013,0.0,0.0,1529.0,1482.0,1.0
Aux_Valcour_delta_week_plasma[2],0.984,0.026,0.934,1.04,0.001,0.0,1528.0,1482.0,1.0
Aux_Valcour_delta_week_plasma[3],0.965,0.058,0.852,1.086,0.002,0.001,1231.0,1256.0,1.0
Aux_Valcour_pred_week_plasma[0],1.293,0.048,1.196,1.394,0.001,0.001,2172.0,1720.0,1.0
Aux_Valcour_pred_week_plasma[1],1.308,0.04,1.223,1.387,0.001,0.001,1098.0,1180.0,1.01
Aux_Valcour_pred_week_plasma[2],1.294,0.034,1.225,1.357,0.001,0.001,1745.0,1551.0,1.01
Aux_Valcour_pred_week_plasma[3],1.267,0.049,1.17,1.366,0.001,0.001,2590.0,1767.0,1.0
