,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-1.992,0.594,-3.143,-0.806,0.005,0.004,13958.0,6998.0,1.0
ξ_acute,0.606,0.091,0.435,0.784,0.001,0.001,12582.0,6642.0,1.0
ξ_chronic,0.81,0.122,0.581,1.056,0.001,0.001,14161.0,7193.0,1.0
ξ_control,0.506,0.075,0.364,0.657,0.001,0.001,10788.0,7098.0,1.0
r_NAA_ratio_baseline,1.076,0.052,0.972,1.176,0.001,0.001,3978.0,5311.0,1.0
α_acute,1.046,0.051,0.95,1.15,0.001,0.001,3965.0,4891.0,1.0
α_chronic,0.934,0.05,0.839,1.033,0.001,0.001,3803.0,6023.0,1.0
Cho_ratio_baseline,0.208,0.001,0.205,0.21,0.0,0.0,12787.0,7521.0,1.0
σ_naa_acute,0.152,0.011,0.13,0.174,0.0,0.0,9564.0,6701.0,1.0
σ_cho_acute,0.023,0.001,0.02,0.026,0.0,0.0,11620.0,7148.0,1.0
ν_naa,15.016,10.52,1.591,35.911,0.105,0.08,9908.0,7188.0,1.0
NAA_ratio_control_mean,1.076,0.052,0.972,1.176,0.001,0.001,3978.0,5311.0,1.0
NAA_ratio_acute_mean,1.122,0.007,1.107,1.136,0.0,0.0,9843.0,5955.0,1.0
NAA_ratio_chronic_mean,1.002,0.027,0.95,1.053,0.0,0.0,11685.0,6590.0,1.0
Δξ,0.204,0.152,-0.1,0.5,0.001,0.001,13383.0,6918.0,1.0
