Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.1235197771087566,1.1021502511545676,1.146135956328013,-0.12351977710875661,-1.3724419678750734
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.310231177001585,1.2676678439884246,1.3533698708776003,-0.23023117700158502,-2.093010700014409
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.122091062236678,1.1074527334986615,1.136673598663795,0.00790893776332191,0.263631258777397
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.1235197771087566,1.1021502511545676,1.146135956328013,-0.12351977710875661,-4.117325903625221
Young_2014,Control,NAA/Cr,1.35,0.024,19,1.310231177001585,1.2676678439884246,1.3533698708776003,0.039768822998415,1.6570342916006249
Young_2014,Control,Cho/Cr,0.3,0.0142,19,,,,,
Young_2014,Chronic,NAA/Cr,1.15,0.013,18,1.1235197771087566,1.1021502511545676,1.146135956328013,0.0264802228912433,2.036940222403331
Young_2014,Chronic,Cho/Cr,0.3,0.0129,18,,,,,
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.310231177001585,1.2676678439884246,1.3533698708776003,0.08976882299841482,4.488441149920741
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.1235197771087566,1.1021502511545676,1.146135956328013,0.1264802228912434,7.440013111249611
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Young_2014,Control,NAA/Cr,1.22,0.019,19,1.310231177001585,1.2676678439884246,1.3533698708776003,-0.09023117700158512,-4.749009315872901
Young_2014,Control,Cho/Cr,0.29,0.0062,19,,,,,
Young_2014,Chronic,NAA/Cr,1.1,0.023,18,1.1235197771087566,1.1021502511545676,1.146135956328013,-0.023519777108756523,-1.0225990047285445
Young_2014,Chronic,Cho/Cr,0.3,0.0146,18,,,,,
Sailasuta_2012,Chronic,NAA/Cr,1.415,0.023533936216582084,26,1.1235197771087566,1.1021502511545676,1.146135956328013,0.2914802228912434,12.385527869573538
Sailasuta_2012,Control,NAA/Cr,1.428,0.03794733192202055,10,1.310231177001585,1.2676678439884246,1.3533698708776003,0.11776882299841485,3.103480983601761
