,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-1.999,0.603,-3.177,-0.841,0.006,0.004,9952.0,6498.0,1.0
ξ_acute,0.607,0.092,0.437,0.79,0.001,0.001,9955.0,7173.0,1.0
ξ_chronic,0.81,0.122,0.586,1.055,0.001,0.001,9279.0,6387.0,1.0
ξ_control,0.506,0.078,0.365,0.661,0.001,0.001,10058.0,6729.0,1.0
r_NAA_ratio_baseline,1.077,0.053,0.977,1.182,0.001,0.001,5037.0,5518.0,1.0
α_acute,1.054,0.052,0.953,1.154,0.001,0.001,5074.0,5470.0,1.0
α_chronic,0.933,0.05,0.841,1.035,0.001,0.0,5306.0,6020.0,1.0
Cho_ratio_baseline,0.218,0.003,0.212,0.224,0.0,0.0,9419.0,6675.0,1.0
σ_naa_acute,0.081,0.01,0.061,0.1,0.0,0.0,8065.0,6711.0,1.0
σ_cho_acute,0.032,0.002,0.027,0.037,0.0,0.0,9849.0,6978.0,1.0
ν_naa,7.102,7.099,0.039,21.02,0.075,0.057,7761.0,5561.0,1.0
NAA_ratio_control_mean,1.077,0.053,0.977,1.182,0.001,0.001,5037.0,5518.0,1.0
NAA_ratio_acute_mean,1.133,0.01,1.115,1.152,0.0,0.0,10033.0,5997.0,1.0
NAA_ratio_chronic_mean,1.002,0.027,0.947,1.053,0.0,0.0,14769.0,6175.0,1.0
Δξ,0.203,0.151,-0.08,0.515,0.002,0.001,8994.0,7293.0,1.0
