,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
NAA_baseline,0.983,0.085,0.837,1.163,0.004,0.003,510.0,1582.0,1.02
xi_control_raw,0.536,0.818,-1.158,1.844,0.027,0.019,840.0,3232.0,1.01
xi_acute_raw,0.738,0.888,-1.033,2.222,0.037,0.027,500.0,1276.0,1.01
xi_chronic_raw,0.466,0.742,-1.06,1.814,0.019,0.014,1550.0,2767.0,1.0
beta_xi,0.855,0.623,0.07,1.996,0.048,0.036,249.0,1272.0,1.02
xi_scale,0.159,0.118,0.0,0.361,0.004,0.003,867.0,2561.0,1.02
sigma_obs,0.034,0.028,0.0,0.084,0.002,0.001,152.0,431.0,1.03
xi_control,0.818,0.138,0.625,1.071,0.006,0.004,728.0,2510.0,1.0
xi_acute,0.749,0.163,0.537,1.041,0.008,0.006,542.0,2070.0,1.0
xi_chronic,0.901,0.12,0.724,1.12,0.004,0.003,874.0,3047.0,1.01
NAA_control,1.094,0.047,1.012,1.19,0.001,0.0,6027.0,5846.0,1.0
NAA_acute,1.148,0.046,1.063,1.241,0.001,0.0,7914.0,5481.0,1.01
NAA_chronic,1.033,0.042,0.956,1.119,0.001,0.0,5592.0,5030.0,1.0
