,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ξ_acute,0.596,0.089,0.424,0.766,0.001,0.001,8705.0,4885.0,1.0
ξ_chronic,0.785,0.102,0.585,0.976,0.001,0.001,9385.0,4765.0,1.0
ξ_control,0.504,0.051,0.402,0.598,0.001,0.0,9762.0,4804.0,1.0
σ_noise_acute,2.644,0.358,2.002,3.279,0.004,0.003,5925.0,3606.0,1.0
σ_noise_chronic,1.523,0.501,0.539,2.4,0.007,0.005,4763.0,2771.0,1.0
σ_noise_control,0.452,0.181,0.106,0.769,0.002,0.001,8002.0,4255.0,1.0
β_ξ,1.918,0.392,1.164,2.686,0.005,0.003,6948.0,4546.0,1.0
σ_obs_acute,1.488,0.161,1.191,1.809,0.002,0.001,10951.0,5392.0,1.0
σ_obs_chronic,1.245,0.577,0.148,2.36,0.007,0.005,4923.0,2847.0,1.0
σ_obs_control,0.344,0.235,0.032,0.822,0.002,0.002,8021.0,4986.0,1.0
σ_cho_acute,0.339,0.039,0.263,0.412,0.0,0.0,10674.0,5577.0,1.0
F_acute,0.332,0.078,0.186,0.488,0.001,0.001,9576.0,5611.0,1.0
F_chronic,0.237,0.084,0.086,0.405,0.001,0.001,7424.0,5287.0,1.0
F_control,0.39,0.083,0.231,0.55,0.001,0.001,7378.0,5109.0,1.0
V_acute,72.445,1.274,69.901,74.865,0.013,0.009,10050.0,6006.0,1.0
V_chronic,51.212,5.271,41.644,61.029,0.073,0.054,4461.0,2540.0,1.0
V_control,67.837,0.534,66.93,68.853,0.006,0.004,7251.0,4342.0,1.0
NAA_acute_mean,10.378,0.182,10.013,10.724,0.002,0.001,10050.0,6006.0,1.0
NAA_chronic_mean,7.336,0.755,5.965,8.742,0.011,0.008,4461.0,2540.0,1.0
NAA_control_mean,9.718,0.077,9.588,9.863,0.001,0.001,7251.0,4342.0,1.0
Cho_acute_mean,2.468,0.039,2.398,2.537,0.0,0.0,5925.0,3606.0,1.0
Cho_chronic_mean,2.401,0.073,2.258,2.529,0.001,0.001,4763.0,2771.0,1.0
Cho_control_mean,2.229,0.02,2.192,2.264,0.0,0.0,8002.0,4255.0,1.0
Δξ,0.189,0.136,-0.093,0.441,0.001,0.001,9059.0,6036.0,1.0
