,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
η0_valcour,0.045,0.676,-0.957,0.937,0.337,0.259,4.0,4.0,9.41
η_t_per24w,-0.288,0.162,-0.467,0.0,0.08,0.062,4.0,4.0,3.94
η_vl_per_log10,-0.178,0.129,-0.347,0.0,0.064,0.049,4.0,4.0,3.98
ξ_acute,0.586,0.102,0.466,0.724,0.045,0.034,7.0,5.0,2.73
ξ_chronic,0.835,0.088,0.691,0.946,0.037,0.028,7.0,28.0,1.74
ξ_control,0.493,0.059,0.408,0.555,0.027,0.02,6.0,4.0,2.47
β_ξ,-1.541,0.362,-2.567,-1.307,0.134,0.099,6.0,30.0,2.96
r_NAA_ratio_baseline,1.251,0.178,1.07,1.527,0.088,0.067,5.0,5.0,3.05
α_acute,1.033,0.081,0.932,1.146,0.039,0.03,5.0,27.0,2.29
α_chronic,0.908,0.023,0.868,0.978,0.005,0.004,12.0,27.0,2.39
Cho_ratio_baseline,0.245,0.025,0.208,0.272,0.012,0.009,4.0,28.0,3.98
σ_naa_acute,0.15,0.096,0.065,0.309,0.048,0.037,4.0,4.0,9.41
σ_cho_acute,0.065,0.035,0.026,0.122,0.018,0.014,4.0,28.0,9.41
σ_valcour_week,0.056,0.019,0.006,0.068,0.008,0.006,6.0,29.0,3.38
NAA_ratio_control_mean,1.251,0.178,1.07,1.527,0.088,0.067,5.0,5.0,3.05
NAA_ratio_acute_mean,1.305,0.286,1.017,1.749,0.143,0.109,4.0,4.0,9.42
NAA_ratio_chronic_mean,1.137,0.172,0.962,1.406,0.085,0.065,5.0,5.0,4.21
Valcour_delta_week[0],1.5085524635947459e+37,2.613052833728185e+37,0.834,6.034209854366559e+37,1.3039107457383152e+37,9.987340926474584e+36,4.0,27.0,5877473739351860.0
Valcour_delta_week[1],3.697745637084424e+37,6.405083647122175e+37,0.837,1.4790982548315347e+38,3.196130321987974e+37,2.4480849839965306e+37,4.0,28.0,5341631286276744.0
Valcour_delta_week[2],0.253,0.438,0.0,1.041,0.218,0.167,4.0,4.0,3.98
Valcour_delta_week[3],5952458273.972,10295796830.444,0.924,23784177675.296,5137592301.952,3935153232.576,4.0,27.0,9.29
Valcour_pred_week[0],2.6386273547298473e+37,4.570522307195046e+37,0.921,1.0554509418902627e+38,2.280686051604048e+37,1.7468978776401767e+37,4.0,29.0,5341631286276744.0
Valcour_pred_week[1],6.467771605102355e+37,1.1203209254231842e+38,0.917,2.5871086420378813e+38,5.590390192189861e+37,4.281975046520951e+37,4.0,27.0,5341631286276744.0
Valcour_pred_week[2],0.277,0.479,0.0,1.139,0.239,0.183,4.0,4.0,3.98
Valcour_pred_week[3],10409014842.348,18009943597.418,1.013,41601192758.172,8986943809.058,6883574815.338,4.0,27.0,9.29
Δξ,0.249,0.138,0.059,0.441,0.06,0.048,6.0,27.0,1.98
