,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-1.999,0.607,-3.134,-0.754,0.007,0.005,8679.0,6446.0,1.0
ξ_acute,0.608,0.09,0.436,0.781,0.001,0.001,8991.0,7513.0,1.0
ξ_chronic,0.809,0.122,0.577,1.047,0.001,0.001,9716.0,7083.0,1.0
ξ_control,0.507,0.078,0.363,0.664,0.001,0.001,9015.0,7058.0,1.0
r_NAA_ratio_baseline,1.079,0.052,0.978,1.18,0.001,0.001,4515.0,5505.0,1.0
α_acute,1.065,0.052,0.969,1.172,0.001,0.001,4589.0,5864.0,1.0
α_chronic,0.931,0.049,0.842,1.03,0.001,0.0,4829.0,5868.0,1.0
Cho_ratio_baseline,0.217,0.003,0.212,0.222,0.0,0.0,9096.0,5741.0,1.0
σ_naa_acute,0.16,0.122,0.0,0.393,0.001,0.001,5742.0,3152.0,1.0
σ_cho_acute,0.08,0.061,0.0,0.199,0.001,0.0,5612.0,3610.0,1.0
NAA_ratio_control_mean,1.079,0.052,0.978,1.18,0.001,0.001,4515.0,5505.0,1.0
NAA_ratio_acute_mean,1.146,0.009,1.129,1.164,0.0,0.0,10053.0,5574.0,1.0
NAA_ratio_chronic_mean,1.002,0.027,0.95,1.055,0.0,0.0,14661.0,6784.0,1.0
Δξ,0.201,0.152,-0.088,0.515,0.002,0.001,9304.0,6748.0,1.0
