Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.1237304586811738,1.1010746491575187,1.1467543605572896,-0.12373045868117383,-1.3747828742352648
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.3103524087028569,1.2691086723020395,1.3559330740321465,-0.23035240870285678,-2.094112806389607
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.1465759319439388,1.1299375255056108,1.1637254815461697,-0.016575931943938915,-0.5525310647979639
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.1237304586811738,1.1010746491575187,1.1467543605572896,-0.12373045868117383,-4.124348622705795
Young_2014,Control,NAA/Cr,1.35,0.024,19,1.3103524087028569,1.2691086723020395,1.3559330740321465,0.039647591297143236,1.6519829707143014
Young_2014,Control,Cho/Cr,0.3,0.0142,19,,,,,
Young_2014,Chronic,NAA/Cr,1.15,0.013,18,1.1237304586811738,1.1010746491575187,1.1467543605572896,0.026269541318826084,2.0207339476020065
Young_2014,Chronic,Cho/Cr,0.3,0.0129,18,,,,,
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.3103524087028569,1.2691086723020395,1.3559330740321465,0.08964759129714306,4.482379564857153
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.1237304586811738,1.1010746491575187,1.1467543605572896,0.12626954131882617,7.42762007757801
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Young_2014,Control,NAA/Cr,1.22,0.019,19,1.3103524087028569,1.2691086723020395,1.3559330740321465,-0.09035240870285688,-4.75538993172931
Young_2014,Control,Cho/Cr,0.29,0.0062,19,,,,,
Young_2014,Chronic,NAA/Cr,1.1,0.023,18,1.1237304586811738,1.1010746491575187,1.1467543605572896,-0.02373045868117374,-1.0317590730945103
Young_2014,Chronic,Cho/Cr,0.3,0.0146,18,,,,,
Sailasuta_2012,Chronic,NAA/Cr,1.415,0.023533936216582084,26,1.1237304586811738,1.1010746491575187,1.1467543605572896,0.2912695413188262,12.376575624165957
Sailasuta_2012,Control,NAA/Cr,1.428,0.03794733192202055,10,1.3103524087028569,1.2691086723020395,1.3559330740321465,0.11764759129714308,3.1002862477631288
