Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.1237123623638203,1.100071561483209,1.1461219322961782,-0.12371236236382033,-1.3745818040424482
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.3098751401208935,1.2663654679906395,1.3533084646576006,-0.22987514012089338,-2.089774001099031
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.133423339327642,1.1144865168009557,1.151320238168197,-0.003423339327642161,-0.11411131092140536
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.1237123623638203,1.100071561483209,1.1461219322961782,-0.12371236236382033,-4.123745412127344
Young_2014,Control,NAA/Cr,1.35,0.024,19,1.3098751401208935,1.2663654679906395,1.3533084646576006,0.040124859879106634,1.671869161629443
Young_2014,Control,Cho/Cr,0.3,0.0142,19,,,,,
Young_2014,Chronic,NAA/Cr,1.15,0.013,18,1.1237123623638203,1.100071561483209,1.1461219322961782,0.026287637636179584,2.0221259720138143
Young_2014,Chronic,Cho/Cr,0.3,0.0129,18,,,,,
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.3098751401208935,1.2663654679906395,1.3533084646576006,0.09012485987910646,4.506242993955323
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.1237123623638203,1.100071561483209,1.1461219322961782,0.12628763763617967,7.4286845668340975
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Young_2014,Control,NAA/Cr,1.22,0.019,19,1.3098751401208935,1.2663654679906395,1.3533084646576006,-0.08987514012089348,-4.730270532678604
Young_2014,Control,Cho/Cr,0.29,0.0062,19,,,,,
Young_2014,Chronic,NAA/Cr,1.1,0.023,18,1.1237123623638203,1.100071561483209,1.1461219322961782,-0.02371236236382024,-1.0309722766878364
Young_2014,Chronic,Cho/Cr,0.3,0.0146,18,,,,,
Sailasuta_2012,Chronic,NAA/Cr,1.415,0.023533936216582084,26,1.1237123623638203,1.100071561483209,1.1461219322961782,0.2912876376361797,12.377344569793538
Sailasuta_2012,Control,NAA/Cr,1.428,0.03794733192202055,10,1.3098751401208935,1.2663654679906395,1.3533084646576006,0.11812485987910648,3.1128633792184877
