,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.007,0.593,-3.169,-0.869,0.006,0.004,9521.0,6301.0,1.0
ξ_acute,0.607,0.091,0.434,0.787,0.001,0.001,11881.0,6709.0,1.0
ξ_chronic,0.807,0.123,0.578,1.052,0.001,0.001,10465.0,6667.0,1.0
ξ_control,0.505,0.076,0.368,0.66,0.001,0.001,10412.0,6287.0,1.0
r_NAA_ratio_baseline,1.074,0.052,0.972,1.177,0.001,0.001,4965.0,5735.0,1.0
α_acute,1.027,0.051,0.934,1.131,0.001,0.001,4969.0,5935.0,1.0
α_chronic,0.935,0.05,0.844,1.043,0.001,0.0,5313.0,6443.0,1.0
Cho_ratio_baseline,0.209,0.001,0.206,0.212,0.0,0.0,10807.0,7179.0,1.0
σ_naa_acute,0.127,0.009,0.11,0.144,0.0,0.0,8026.0,6567.0,1.0
σ_cho_acute,0.027,0.001,0.024,0.029,0.0,0.0,11166.0,6814.0,1.0
ν_naa,10.025,7.494,1.096,24.464,0.086,0.061,7776.0,6477.0,1.0
NAA_ratio_control_mean,1.074,0.052,0.972,1.177,0.001,0.001,4965.0,5735.0,1.0
NAA_ratio_acute_mean,1.1,0.009,1.083,1.116,0.0,0.0,9641.0,6030.0,1.0
NAA_ratio_chronic_mean,1.002,0.027,0.949,1.055,0.0,0.0,14296.0,6680.0,1.0
Δξ,0.2,0.154,-0.088,0.512,0.001,0.001,10904.0,6193.0,1.0
