,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
η_t_per24w_aux,-0.288,0.162,-0.467,0.001,0.08,0.062,5.0,33.0,3.66
η_vl_per_log10_aux,-0.095,0.077,-0.204,0.0,0.038,0.029,4.0,4.0,7.71
μ_valcour_base,1.378,0.837,0.408,2.709,0.417,0.319,4.0,34.0,6.7
σ_valcour_week_aux,0.055,0.02,0.004,0.068,0.008,0.006,6.0,40.0,3.47
Aux_Valcour_delta_week[0],3.3030927295055334e+21,5.721839687368033e+21,0.916,1.321237088872405e+22,2.849453184940805e+21,2.1817723239946272e+21,4.0,34.0,8.43
Aux_Valcour_delta_week[1],5.448352602981293e+21,9.438003327308847e+21,0.891,2.179341037249616e+22,4.7000877532191596e+21,3.598768154716211e+21,4.0,32.0,8.44
Aux_Valcour_delta_week[2],0.254,0.441,0.0,1.042,0.22,0.168,4.0,4.0,3.93
Aux_Valcour_delta_week[3],234315.694,403512.223,0.923,933125.97,200947.467,153861.668,4.0,29.0,8.47
Aux_Valcour_pred_week[0],4.316730401890637e+21,7.477731107636973e+21,0.93,1.7266921528181893e+22,3.7238800604334685e+21,2.8513044175168523e+21,4.0,30.0,7.7
Aux_Valcour_pred_week[1],7.120317604503643e+21,1.2334293678431953e+22,0.927,2.8481270311183123e+22,6.142428716343335e+21,4.7031413066385e+21,4.0,30.0,8.46
Aux_Valcour_pred_week[2],0.277,0.48,0.0,1.135,0.239,0.183,4.0,4.0,3.93
Aux_Valcour_pred_week[3],307659.709,526524.774,1.015,1219479.308,262207.223,200767.103,4.0,31.0,8.47
