,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.0,0.603,-3.218,-0.857,0.007,0.005,8297.0,6671.0,1.0
ξ_acute,0.606,0.092,0.437,0.792,0.001,0.001,9697.0,6274.0,1.0
ξ_chronic,0.811,0.122,0.585,1.053,0.001,0.001,9335.0,7093.0,1.0
ξ_control,0.506,0.076,0.368,0.655,0.001,0.001,10238.0,7894.0,1.0
r_NAA_ratio_baseline,1.31,0.022,1.266,1.353,0.0,0.0,4443.0,5459.0,1.0
α_acute,0.866,0.016,0.835,0.899,0.0,0.0,4651.0,5888.0,1.0
α_chronic,0.859,0.017,0.826,0.893,0.0,0.0,5030.0,6153.0,1.0
Cho_ratio_baseline,0.225,0.003,0.219,0.231,0.0,0.0,9224.0,7921.0,1.0
σ_naa_acute,0.081,0.01,0.062,0.1,0.0,0.0,6811.0,6181.0,1.0
σ_cho_acute,0.033,0.003,0.028,0.038,0.0,0.0,8678.0,6787.0,1.0
ν_naa,7.222,6.894,0.04,20.821,0.079,0.056,6628.0,5286.0,1.0
NAA_ratio_control_mean,1.31,0.022,1.266,1.353,0.0,0.0,4443.0,5459.0,1.0
NAA_ratio_acute_mean,1.133,0.009,1.114,1.151,0.0,0.0,11375.0,7457.0,1.0
NAA_ratio_chronic_mean,1.124,0.012,1.1,1.146,0.0,0.0,14116.0,7661.0,1.0
Δξ,0.204,0.155,-0.092,0.516,0.002,0.001,9347.0,6948.0,1.0
