,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.005,0.594,-3.165,-0.836,0.006,0.004,9558.0,6668.0,1.0
ξ_acute,0.607,0.089,0.436,0.777,0.001,0.001,9832.0,7139.0,1.0
ξ_chronic,0.807,0.12,0.583,1.05,0.001,0.001,9999.0,7503.0,1.0
ξ_control,0.505,0.075,0.366,0.658,0.001,0.001,10837.0,7274.0,1.0
r_NAA_ratio_baseline,1.31,0.022,1.268,1.353,0.0,0.0,4836.0,5730.0,1.0
α_acute,0.857,0.016,0.826,0.886,0.0,0.0,4942.0,5731.0,1.0
α_chronic,0.858,0.017,0.827,0.892,0.0,0.0,5251.0,6086.0,1.0
Cho_ratio_baseline,0.209,0.001,0.207,0.212,0.0,0.0,10172.0,7300.0,1.0
σ_naa_acute,0.152,0.011,0.13,0.173,0.0,0.0,7954.0,6563.0,1.0
σ_cho_acute,0.023,0.001,0.021,0.026,0.0,0.0,10268.0,7453.0,1.0
ν_naa,14.864,9.89,1.537,34.878,0.109,0.078,7610.0,6366.0,1.0
NAA_ratio_control_mean,1.31,0.022,1.268,1.353,0.0,0.0,4836.0,5730.0,1.0
NAA_ratio_acute_mean,1.122,0.007,1.107,1.137,0.0,0.0,11064.0,7697.0,1.0
NAA_ratio_chronic_mean,1.124,0.011,1.102,1.146,0.0,0.0,15834.0,6945.0,1.0
Δξ,0.2,0.15,-0.089,0.501,0.002,0.001,9660.0,6241.0,1.0
