Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.1237100386345256,1.1004604900456885,1.1465373242815617,-0.12371003863452557,-1.374555984828062
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.3093150232069304,1.264380926594893,1.3517924553508731,-0.2293150232069303,-2.084682029153912
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.100651772243996,1.0837103339373992,1.1168717595221493,0.029348227756003986,0.9782742585334663
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.1237100386345256,1.1004604900456885,1.1465373242815617,-0.12371003863452557,-4.123667954484186
Young_2014,Control,NAA/Cr,1.35,0.024,19,1.3093150232069304,1.264380926594893,1.3517924553508731,0.040684976793069705,1.6952073663779044
Young_2014,Control,Cho/Cr,0.3,0.0142,19,,,,,
Young_2014,Chronic,NAA/Cr,1.15,0.013,18,1.1237100386345256,1.1004604900456885,1.1465373242815617,0.026289961365474346,2.0223047204211038
Young_2014,Chronic,Cho/Cr,0.3,0.0129,18,,,,,
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.3093150232069304,1.264380926594893,1.3517924553508731,0.09068497679306953,4.534248839653476
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.1237100386345256,1.1004604900456885,1.1465373242815617,0.12628996136547443,7.428821256792613
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Young_2014,Control,NAA/Cr,1.22,0.019,19,1.3093150232069304,1.264380926594893,1.3517924553508731,-0.08931502320693041,-4.700790695101601
Young_2014,Control,Cho/Cr,0.29,0.0062,19,,,,,
Young_2014,Chronic,NAA/Cr,1.1,0.023,18,1.1237100386345256,1.1004604900456885,1.1465373242815617,-0.023710038634525477,-1.0308712449793687
Young_2014,Chronic,Cho/Cr,0.3,0.0146,18,,,,,
Sailasuta_2012,Chronic,NAA/Cr,1.415,0.023533936216582084,26,1.1237100386345256,1.1004604900456885,1.1465373242815617,0.29128996136547447,12.377443309302022
Sailasuta_2012,Control,NAA/Cr,1.428,0.03794733192202055,10,1.3093150232069304,1.264380926594893,1.3517924553508731,0.11868497679306955,3.1276237559193865
