Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Young_2014,Control,NAA/Cr,1.35,0.024,19,1.319673994550392,1.2756210216679966,1.364862452106433,0.030326005449608173,1.2635835604003405
Young_2014,Control,Cho/Cr,0.3,0.0142,19,,,,,
Young_2014,Chronic,NAA/Cr,1.15,0.013,18,1.1486802854135716,1.1235909016075967,1.1742010419757902,0.0013197145864283222,0.10151650664833248
Young_2014,Chronic,Cho/Cr,0.3,0.0129,18,,,,,
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.319673994550392,1.2756210216679966,1.364862452106433,0.080326005449608,4.016300272480399
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.1486802854135716,1.1235909016075967,1.1742010419757902,0.10131971458642841,5.959983210966377
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Young_2014,Control,NAA/Cr,1.22,0.019,19,1.319673994550392,1.2756210216679966,1.364862452106433,-0.09967399455039194,-5.245999713178524
Young_2014,Control,Cho/Cr,0.29,0.0062,19,,,,,
Young_2014,Chronic,NAA/Cr,1.1,0.023,18,1.1486802854135716,1.1235909016075967,1.1742010419757902,-0.0486802854135715,-2.1165341484161524
Young_2014,Chronic,Cho/Cr,0.3,0.0146,18,,,,,
Sailasuta_2012,Chronic,NAA/Cr,1.415,0.023533936216582084,26,1.1486802854135716,1.1235909016075967,1.1742010419757902,0.26631971458642845,11.31641184608883
Sailasuta_2012,Control,NAA/Cr,1.428,0.03794733192202055,10,1.319673994550392,1.2756210216679966,1.364862452106433,0.10832600544960802,2.8546408920714463
