,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.003,0.593,-3.163,-0.843,0.005,0.006,11915.0,7850.0,1.0
ξ_acute,0.606,0.092,0.435,0.787,0.001,0.001,9876.0,7330.0,1.0
ξ_chronic,0.809,0.121,0.579,1.045,0.001,0.001,10087.0,7648.0,1.0
ξ_control,0.506,0.077,0.36,0.654,0.001,0.001,10409.0,7721.0,1.0
r_NAA_ratio_baseline,1.366,0.019,1.329,1.404,0.0,0.0,4133.0,5616.0,1.0
α_acute,0.806,0.013,0.78,0.83,0.0,0.0,4232.0,5600.0,1.0
α_chronic,0.866,0.016,0.834,0.897,0.0,0.0,4764.0,5680.0,1.0
Cho_ratio_baseline,0.205,0.001,0.203,0.208,0.0,0.0,8344.0,7329.0,1.0
σ_naa_acute,0.127,0.009,0.11,0.144,0.0,0.0,5950.0,6212.0,1.0
σ_cho_acute,0.027,0.001,0.025,0.03,0.0,0.0,8037.0,6873.0,1.0
ν_naa,9.795,7.092,1.25,23.971,0.093,0.129,5856.0,6261.0,1.0
NAA_ratio_control_mean,1.366,0.019,1.329,1.404,0.0,0.0,4133.0,5616.0,1.0
NAA_ratio_acute_mean,1.101,0.009,1.084,1.118,0.0,0.0,10952.0,7242.0,1.0
NAA_ratio_chronic_mean,1.182,0.015,1.154,1.211,0.0,0.0,13911.0,7472.0,1.0
Δξ,0.203,0.151,-0.096,0.498,0.002,0.002,10157.0,7155.0,1.0
