Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.1237100386346486,1.1004604900456934,1.146537324281587,-0.12371003863464858,-1.3745559848294286
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.3093150232071582,1.2643809265948924,1.3517924553508653,-0.22931502320715813,-2.084682029155983
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.1006517722441331,1.0837103339373715,1.1168717595221318,0.029348227755866763,0.9782742585288922
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.1237100386346486,1.1004604900456934,1.146537324281587,-0.12371003863464858,-4.123667954488286
Young_2014,Control,NAA/Cr,1.35,0.024,19,1.3093150232071582,1.2643809265948924,1.3517924553508653,0.04068497679284189,1.695207366368412
Young_2014,Control,Cho/Cr,0.3,0.0142,19,,,,,
Young_2014,Chronic,NAA/Cr,1.15,0.013,18,1.1237100386346486,1.1004604900456934,1.146537324281587,0.026289961365351333,2.022304720411641
Young_2014,Chronic,Cho/Cr,0.3,0.0129,18,,,,,
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.3093150232071582,1.2643809265948924,1.3517924553508653,0.09068497679284171,4.5342488396420855
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.1237100386346486,1.1004604900456934,1.146537324281587,0.12628996136535142,7.428821256785377
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Sailasuta_2012,Chronic,NAA/Cr,1.415,0.023533936216582084,26,1.1237100386346486,1.1004604900456934,1.146537324281587,0.29128996136535146,12.377443309296796
Sailasuta_2012,Control,NAA/Cr,1.428,0.03794733192202055,10,1.3093150232071582,1.2643809265948924,1.3517924553508653,0.11868497679284173,3.1276237559133833
