,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.003,0.588,-3.219,-0.903,0.006,0.006,10044.0,7335.0,1.0
ξ_acute,0.607,0.092,0.434,0.791,0.001,0.001,10155.0,6943.0,1.0
ξ_chronic,0.808,0.119,0.584,1.05,0.001,0.001,9916.0,6388.0,1.0
ξ_control,0.506,0.075,0.368,0.659,0.001,0.001,10329.0,7397.0,1.0
r_NAA_ratio_baseline,1.309,0.022,1.264,1.352,0.0,0.0,5116.0,5835.0,1.0
α_acute,0.841,0.016,0.811,0.872,0.0,0.0,5302.0,5925.0,1.0
α_chronic,0.859,0.017,0.827,0.895,0.0,0.0,5597.0,6104.0,1.0
Cho_ratio_baseline,0.211,0.001,0.208,0.214,0.0,0.0,9441.0,7051.0,1.0
σ_naa_acute,0.127,0.009,0.11,0.145,0.0,0.0,7632.0,6187.0,1.0
σ_cho_acute,0.027,0.001,0.025,0.029,0.0,0.0,9392.0,6535.0,1.0
ν_naa,9.796,7.123,1.448,23.739,0.081,0.153,7782.0,7032.0,1.0
NAA_ratio_control_mean,1.309,0.022,1.264,1.352,0.0,0.0,5116.0,5835.0,1.0
NAA_ratio_acute_mean,1.101,0.008,1.084,1.117,0.0,0.0,11351.0,8031.0,1.0
NAA_ratio_chronic_mean,1.124,0.012,1.1,1.147,0.0,0.0,13541.0,7363.0,1.0
Δξ,0.201,0.151,-0.107,0.493,0.002,0.002,9862.0,6778.0,1.0
