Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.123548551141311,1.1006763562906536,1.146903409768876,-0.12354855114131102,-1.3727616793479003
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.3170042704331797,1.2738602540623336,1.361835765000192,-0.23700427043317962,-2.154584276665269
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.133194066928204,1.1144867075997658,1.1520251805151924,-0.003194066928204009,-0.10646889760680031
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.123548551141311,1.1006763562906536,1.146903409768876,-0.12354855114131102,-4.118285038043701
Young_2014,Control,NAA/Cr,1.35,0.024,19,1.3170042704331797,1.2738602540623336,1.361835765000192,0.0329957295668204,1.3748220652841832
Young_2014,Control,Cho/Cr,0.3,0.0142,19,,,,,
Young_2014,Chronic,NAA/Cr,1.15,0.013,18,1.123548551141311,1.1006763562906536,1.146903409768876,0.026451448858688886,2.0347268352837604
Young_2014,Chronic,Cho/Cr,0.3,0.0129,18,,,,,
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.3170042704331797,1.2738602540623336,1.361835765000192,0.08299572956682022,4.149786478341011
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.123548551141311,1.1006763562906536,1.146903409768876,0.12645144885868898,7.438320521099351
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Young_2014,Control,NAA/Cr,1.22,0.019,19,1.3170042704331797,1.2738602540623336,1.361835765000192,-0.09700427043317972,-5.105487917535775
Young_2014,Control,Cho/Cr,0.29,0.0062,19,,,,,
Young_2014,Chronic,NAA/Cr,1.1,0.023,18,1.123548551141311,1.1006763562906536,1.146903409768876,-0.023548551141310936,-1.0238500496222147
Young_2014,Chronic,Cho/Cr,0.3,0.0146,18,,,,,
Sailasuta_2012,Chronic,NAA/Cr,1.415,0.023533936216582084,26,1.123548551141311,1.1006763562906536,1.146903409768876,0.291451448858689,12.38430520829454
Sailasuta_2012,Control,NAA/Cr,1.428,0.03794733192202055,10,1.3170042704331797,1.2738602540623336,1.361835765000192,0.11099572956682024,2.924994299860388
