Study,Phase,Region,Metabolite,Mean,SE,n,SourceFile
Young_2014,Control,FWM,NAA/Cr,1.35,0.024,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,FWM,Cho/Cr,0.3,0.0142,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,FWM,NAA/Cr,1.15,0.013,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,FWM,Cho/Cr,0.3,0.0129,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,PGM,NAA/Cr,1.4,0.02,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,PGM,Cho/Cr,0.2,0.0036,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,PGM,NAA/Cr,1.25,0.017,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,PGM,Cho/Cr,0.19,0.0058,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,AC,NAA/Cr,1.22,0.019,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Control,AC,Cho/Cr,0.29,0.0062,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,AC,NAA/Cr,1.1,0.023,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Young_2014,Chronic,AC,Cho/Cr,0.3,0.0146,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv
Sailasuta_2012,Chronic,OGM,NAA/Cr,1.415,0.023533936216582084,26,Sailasuta_2012.csv
Sailasuta_2012,Control,OGM,NAA/Cr,1.428,0.03794733192202055,10,Sailasuta_2012.csv
