Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.1245169180220622,1.1009316449278825,1.1477926630962172,-0.12451691802206222,-1.383521311356247
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.3094612387683242,1.2666123345170506,1.354676297060942,-0.22946123876832414,-2.0860112615302193
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.133137057117166,1.116171416082947,1.1512964334277447,-0.0031370571171660533,-0.10456857057220179
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.1245169180220622,1.1009316449278825,1.1477926630962172,-0.12451691802206222,-4.150563934068741
Young_2014,Control,NAA/Cr,1.35,0.024,19,1.3094612387683242,1.2666123345170506,1.354676297060942,0.04053876123167588,1.6891150513198283
Young_2014,Control,Cho/Cr,0.3,0.0142,19,,,,,
Young_2014,Chronic,NAA/Cr,1.15,0.013,18,1.1245169180220622,1.1009316449278825,1.1477926630962172,0.025483081977937694,1.9602370752259766
Young_2014,Chronic,Cho/Cr,0.3,0.0129,18,,,,,
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.3094612387683242,1.2666123345170506,1.354676297060942,0.0905387612316757,4.526938061583785
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.1245169180220622,1.1009316449278825,1.1477926630962172,0.12548308197793778,7.381357763408104
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Young_2014,Control,NAA/Cr,1.22,0.019,19,1.3094612387683242,1.2666123345170506,1.354676297060942,-0.08946123876832424,-4.708486250964434
Young_2014,Control,Cho/Cr,0.29,0.0062,19,,,,,
Young_2014,Chronic,NAA/Cr,1.1,0.023,18,1.1245169180220622,1.1009316449278825,1.1477926630962172,-0.02451691802206213,-1.065952957480962
Young_2014,Chronic,Cho/Cr,0.3,0.0146,18,,,,,
