,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.004,0.597,-3.213,-0.893,0.006,0.006,9599.0,7062.0,1.0
ξ_acute,0.608,0.092,0.44,0.79,0.001,0.001,10461.0,7454.0,1.0
ξ_chronic,0.808,0.119,0.582,1.043,0.001,0.001,9166.0,6941.0,1.0
ξ_control,0.505,0.076,0.361,0.65,0.001,0.001,7815.0,6835.0,1.0
r_NAA_ratio_baseline,1.309,0.022,1.267,1.355,0.0,0.0,4881.0,5445.0,1.0
α_acute,0.866,0.016,0.834,0.897,0.0,0.0,5138.0,5752.0,1.0
α_chronic,0.86,0.017,0.826,0.894,0.0,0.0,5218.0,6265.0,1.0
Cho_ratio_baseline,0.233,0.005,0.223,0.243,0.0,0.0,6703.0,6133.0,1.0
σ_naa_acute,0.063,0.007,0.048,0.077,0.0,0.0,7665.0,5041.0,1.0
σ_cho_acute,0.042,0.005,0.033,0.052,0.0,0.0,6164.0,5550.0,1.0
ν_naa,13.937,10.571,0.337,34.999,0.11,0.139,6650.0,4863.0,1.0
NAA_ratio_control_mean,1.309,0.022,1.267,1.355,0.0,0.0,4881.0,5445.0,1.0
NAA_ratio_acute_mean,1.133,0.009,1.116,1.151,0.0,0.0,11105.0,7481.0,1.0
NAA_ratio_chronic_mean,1.125,0.012,1.101,1.148,0.0,0.0,13693.0,8176.0,1.0
Δξ,0.2,0.15,-0.084,0.503,0.002,0.002,9494.0,7104.0,1.0
