Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.1331705550921838,1.1143241277873783,1.1511789537465478,-0.003170555092183891,-0.10568516973946304
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.1256686566329555,1.1027383833412197,1.1482742985208336,-0.12566865663295546,-4.1889552210985155
Young_2014,Control,NAA/Cr,1.35,0.024,19,1.320021877169265,1.275769807241136,1.3660494060608765,0.0299781228307352,1.2490884512806333
Young_2014,Control,Cho/Cr,0.3,0.0142,19,,,,,
Young_2014,Chronic,NAA/Cr,1.15,0.013,18,1.1256686566329555,1.1027383833412197,1.1482742985208336,0.024331343367044456,1.8716417974649582
Young_2014,Chronic,Cho/Cr,0.3,0.0129,18,,,,,
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.320021877169265,1.275769807241136,1.3660494060608765,0.07997812283073502,3.998906141536751
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.1256686566329555,1.1027383833412197,1.1482742985208336,0.12433134336704454,7.313608433355561
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Young_2014,Control,NAA/Cr,1.22,0.019,19,1.320021877169265,1.275769807241136,1.3660494060608765,-0.10002187716926492,-5.264309324698154
Young_2014,Control,Cho/Cr,0.29,0.0062,19,,,,,
Young_2014,Chronic,NAA/Cr,1.1,0.023,18,1.1256686566329555,1.1027383833412197,1.1482742985208336,-0.025668656632955367,-1.116028549258929
Young_2014,Chronic,Cho/Cr,0.3,0.0146,18,,,,,
Sailasuta_2012,Chronic,NAA/Cr,1.415,0.023533936216582084,26,1.1256686566329555,1.1027383833412197,1.1482742985208336,0.2893313433670446,12.294218047688123
Sailasuta_2012,Control,NAA/Cr,1.428,0.03794733192202055,10,1.320021877169265,1.275769807241136,1.3660494060608765,0.10797812283073505,2.845473380121256
