Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.182264590924885,1.1539533483506526,1.209733508489381,-0.182264590924885,-2.0251621213876114
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.3672941723365843,1.3297405663125434,1.4040447646368845,-0.2872941723365843,-2.611765203059857
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.1334736603238769,1.114993688069109,1.1529455367904995,-0.0034736603238769703,-0.11578867746256569
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.182264590924885,1.1539533483506526,1.209733508489381,-0.182264590924885,-6.075486364162834
Young_2014,Control,NAA/Cr,1.4,0.02,19,1.3672941723365843,1.3297405663125434,1.4040447646368845,0.032705827663415565,1.6352913831707783
Young_2014,Control,Cho/Cr,0.2,0.0036,19,,,,,
Young_2014,Chronic,NAA/Cr,1.25,0.017,18,1.182264590924885,1.1539533483506526,1.209733508489381,0.067735409075115,3.9844358279479404
Young_2014,Chronic,Cho/Cr,0.19,0.0058,18,,,,,
Young_2014,Control,NAA/Cr,1.22,0.019,19,1.3672941723365843,1.3297405663125434,1.4040447646368845,-0.14729417233658437,-7.75232485982023
Young_2014,Control,Cho/Cr,0.29,0.0062,19,,,,,
Young_2014,Chronic,NAA/Cr,1.1,0.023,18,1.182264590924885,1.1539533483506526,1.209733508489381,-0.08226459092488492,-3.5767213445602137
Young_2014,Chronic,Cho/Cr,0.3,0.0146,18,,,,,
Sailasuta_2012,Chronic,NAA/Cr,1.415,0.023533936216582084,26,1.182264590924885,1.1539533483506526,1.209733508489381,0.23273540907511503,9.889353269816757
Sailasuta_2012,Control,NAA/Cr,1.428,0.03794733192202055,10,1.3672941723365843,1.3297405663125434,1.4040447646368845,0.06070582766341559,1.5997390221837562
