,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.007,0.591,-3.129,-0.83,0.006,0.006,10218.0,7017.0,1.0
ξ_acute,0.606,0.091,0.434,0.785,0.001,0.001,10128.0,7039.0,1.0
ξ_chronic,0.809,0.121,0.588,1.055,0.001,0.001,9398.0,6814.0,1.0
ξ_control,0.505,0.075,0.367,0.66,0.001,0.001,10239.0,7273.0,1.0
r_NAA_ratio_baseline,1.309,0.023,1.267,1.354,0.0,0.0,4259.0,5270.0,1.0
α_acute,0.866,0.016,0.835,0.9,0.0,0.0,4437.0,5616.0,1.0
α_chronic,0.859,0.017,0.826,0.893,0.0,0.0,4521.0,6127.0,1.0
Cho_ratio_baseline,0.225,0.003,0.219,0.231,0.0,0.0,7280.0,6252.0,1.0
σ_naa_acute,0.081,0.01,0.063,0.102,0.0,0.0,6830.0,5784.0,1.0
σ_cho_acute,0.033,0.003,0.028,0.038,0.0,0.0,7098.0,6256.0,1.0
ν_naa,7.016,6.951,0.072,20.282,0.074,0.163,6936.0,5026.0,1.0
NAA_ratio_control_mean,1.309,0.023,1.267,1.354,0.0,0.0,4259.0,5270.0,1.0
NAA_ratio_acute_mean,1.133,0.009,1.115,1.152,0.0,0.0,12203.0,7574.0,1.0
NAA_ratio_chronic_mean,1.124,0.012,1.102,1.147,0.0,0.0,13619.0,8162.0,1.0
Δξ,0.203,0.149,-0.095,0.498,0.002,0.002,9581.0,6902.0,1.0
