,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.0,0.595,-3.139,-0.827,0.006,0.006,9676.0,7630.0,1.0
ξ_acute,0.606,0.092,0.43,0.782,0.001,0.001,8941.0,7403.0,1.0
ξ_chronic,0.81,0.121,0.582,1.049,0.001,0.001,8308.0,7001.0,1.0
ξ_control,0.507,0.077,0.357,0.656,0.001,0.001,9008.0,7140.0,1.0
r_NAA_ratio_baseline,1.32,0.023,1.274,1.364,0.0,0.0,4405.0,5500.0,1.0
α_acute,0.859,0.017,0.826,0.892,0.0,0.0,4563.0,5776.0,1.0
α_chronic,0.871,0.018,0.836,0.906,0.0,0.0,4995.0,5991.0,1.0
Cho_ratio_baseline,0.225,0.003,0.219,0.232,0.0,0.0,8287.0,6713.0,1.0
σ_naa_acute,0.081,0.01,0.062,0.1,0.0,0.0,6942.0,6165.0,1.0
σ_cho_acute,0.033,0.003,0.028,0.039,0.0,0.0,8061.0,6302.0,1.0
ν_naa,6.969,6.679,0.007,19.923,0.075,0.127,6285.0,5279.0,1.0
NAA_ratio_control_mean,1.32,0.023,1.274,1.364,0.0,0.0,4405.0,5500.0,1.0
NAA_ratio_acute_mean,1.134,0.01,1.114,1.154,0.0,0.0,11493.0,8281.0,1.0
NAA_ratio_chronic_mean,1.149,0.013,1.124,1.175,0.0,0.0,14576.0,7737.0,1.0
Δξ,0.204,0.151,-0.088,0.501,0.002,0.002,8630.0,6915.0,1.0
