,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.003,0.607,-3.257,-0.86,0.006,0.006,9793.0,6782.0,1.0
ξ_acute,0.606,0.092,0.436,0.79,0.001,0.001,9143.0,6649.0,1.0
ξ_chronic,0.808,0.119,0.588,1.047,0.001,0.001,10056.0,7352.0,1.0
ξ_control,0.506,0.075,0.37,0.663,0.001,0.001,9630.0,7482.0,1.0
r_NAA_ratio_baseline,1.317,0.023,1.274,1.362,0.0,0.0,4508.0,5509.0,1.0
α_acute,0.861,0.017,0.829,0.894,0.0,0.0,4869.0,5511.0,1.0
α_chronic,0.854,0.017,0.82,0.887,0.0,0.0,4885.0,5027.0,1.0
Cho_ratio_baseline,0.225,0.003,0.219,0.231,0.0,0.0,7440.0,6567.0,1.0
σ_naa_acute,0.081,0.01,0.062,0.101,0.0,0.0,6762.0,5598.0,1.0
σ_cho_acute,0.033,0.003,0.028,0.039,0.0,0.0,7903.0,6444.0,1.0
ν_naa,7.118,6.734,0.01,20.037,0.074,0.125,6894.0,5392.0,1.0
NAA_ratio_control_mean,1.317,0.023,1.274,1.362,0.0,0.0,4508.0,5509.0,1.0
NAA_ratio_acute_mean,1.133,0.01,1.114,1.152,0.0,0.0,11410.0,6755.0,1.0
NAA_ratio_chronic_mean,1.124,0.012,1.101,1.147,0.0,0.0,14121.0,8101.0,1.0
Δξ,0.202,0.149,-0.088,0.502,0.002,0.002,9663.0,7070.0,1.0
