,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-1.997,0.6,-3.149,-0.787,0.006,0.006,9927.0,7397.0,1.0
ξ_acute,0.608,0.092,0.438,0.79,0.001,0.001,8525.0,7124.0,1.0
ξ_chronic,0.808,0.121,0.582,1.048,0.001,0.001,10125.0,7399.0,1.0
ξ_control,0.506,0.077,0.366,0.666,0.001,0.001,9664.0,7316.0,1.0
r_NAA_ratio_baseline,1.32,0.023,1.276,1.366,0.0,0.0,4148.0,4940.0,1.0
α_acute,0.859,0.017,0.827,0.892,0.0,0.0,4520.0,5637.0,1.0
α_chronic,0.854,0.017,0.82,0.888,0.0,0.0,4591.0,5147.0,1.0
Cho_ratio_baseline,0.225,0.003,0.219,0.231,0.0,0.0,8561.0,7725.0,1.0
σ_naa_acute,0.081,0.01,0.063,0.101,0.0,0.0,6335.0,6623.0,1.0
σ_cho_acute,0.033,0.003,0.028,0.039,0.0,0.0,8574.0,6964.0,1.0
ν_naa,6.996,6.705,0.008,19.827,0.074,0.129,5657.0,4500.0,1.0
NAA_ratio_control_mean,1.32,0.023,1.276,1.366,0.0,0.0,4148.0,4940.0,1.0
NAA_ratio_acute_mean,1.133,0.009,1.114,1.151,0.0,0.0,11889.0,8360.0,1.0
NAA_ratio_chronic_mean,1.126,0.012,1.103,1.148,0.0,0.0,14607.0,8147.0,1.0
Δξ,0.2,0.151,-0.102,0.495,0.002,0.002,9362.0,7030.0,1.0
