,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.005,0.602,-3.199,-0.85,0.006,0.006,9334.0,6988.0,1.0
ξ_acute,0.607,0.091,0.448,0.795,0.001,0.001,8696.0,7180.0,1.0
ξ_chronic,0.807,0.121,0.567,1.033,0.001,0.001,10164.0,7559.0,1.0
ξ_control,0.505,0.077,0.36,0.654,0.001,0.001,9754.0,6888.0,1.0
r_NAA_ratio_baseline,1.31,0.022,1.266,1.353,0.0,0.0,4209.0,5601.0,1.0
α_acute,0.866,0.017,0.834,0.898,0.0,0.0,4445.0,5972.0,1.0
α_chronic,0.875,0.018,0.84,0.91,0.0,0.0,4644.0,6393.0,1.0
Cho_ratio_baseline,0.225,0.003,0.219,0.231,0.0,0.0,7391.0,6750.0,1.0
σ_naa_acute,0.081,0.01,0.062,0.101,0.0,0.0,6665.0,5691.0,1.0
σ_cho_acute,0.033,0.003,0.028,0.039,0.0,0.0,7985.0,6949.0,1.0
ν_naa,7.062,6.832,0.007,20.142,0.079,0.142,6337.0,5398.0,1.0
NAA_ratio_control_mean,1.31,0.022,1.266,1.353,0.0,0.0,4209.0,5601.0,1.0
NAA_ratio_acute_mean,1.134,0.01,1.114,1.154,0.0,0.0,11459.0,8122.0,1.0
NAA_ratio_chronic_mean,1.146,0.013,1.121,1.171,0.0,0.0,14644.0,8538.0,1.0
Δξ,0.2,0.151,-0.09,0.503,0.002,0.001,9495.0,7310.0,1.0
