,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.002,0.602,-3.181,-0.825,0.006,0.006,11604.0,7244.0,1.0
ξ_acute,0.606,0.091,0.442,0.79,0.001,0.001,9587.0,7158.0,1.0
ξ_chronic,0.81,0.122,0.579,1.05,0.001,0.001,10001.0,7028.0,1.0
ξ_control,0.506,0.076,0.366,0.656,0.001,0.001,8925.0,7531.0,1.0
r_NAA_ratio_baseline,1.329,0.032,1.268,1.393,0.001,0.0,3745.0,5672.0,1.0
α_acute,0.857,0.024,0.806,0.902,0.0,0.0,4199.0,5618.0,1.0
α_chronic,0.937,0.026,0.885,0.987,0.0,0.0,3992.0,5870.0,1.0
Cho_ratio_baseline,0.219,0.003,0.213,0.226,0.0,0.0,8000.0,6705.0,1.0
σ_naa_acute,0.124,0.02,0.086,0.164,0.0,0.0,7323.0,5763.0,1.0
σ_cho_acute,0.022,0.003,0.017,0.028,0.0,0.0,8593.0,6487.0,1.0
ν_naa,11.284,10.069,0.006,31.224,0.099,0.166,6448.0,4579.0,1.0
NAA_ratio_control_mean,1.329,0.032,1.268,1.393,0.001,0.0,3745.0,5672.0,1.0
NAA_ratio_acute_mean,1.137,0.019,1.1,1.175,0.0,0.0,13336.0,7412.0,1.0
NAA_ratio_chronic_mean,1.243,0.018,1.207,1.277,0.0,0.0,11995.0,8374.0,1.0
Δξ,0.203,0.15,-0.088,0.501,0.002,0.002,9977.0,7456.0,1.0
