,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-1.992,0.603,-3.175,-0.822,0.006,0.006,10638.0,6959.0,1.0
ξ_acute,0.607,0.09,0.438,0.783,0.001,0.001,8802.0,6619.0,1.0
ξ_chronic,0.808,0.119,0.598,1.056,0.001,0.001,10195.0,7059.0,1.0
ξ_control,0.505,0.076,0.368,0.659,0.001,0.001,10254.0,6414.0,1.0
r_NAA_ratio_baseline,1.076,0.052,0.974,1.178,0.001,0.001,4710.0,5349.0,1.0
α_acute,1.056,0.052,0.956,1.159,0.001,0.001,4769.0,5256.0,1.0
α_chronic,0.934,0.05,0.837,1.031,0.001,0.0,5204.0,5925.0,1.0
Cho_ratio_baseline,0.218,0.003,0.212,0.224,0.0,0.0,8495.0,6666.0,1.0
σ_naa_acute,0.081,0.01,0.061,0.1,0.0,0.0,7278.0,5971.0,1.0
σ_cho_acute,0.032,0.003,0.027,0.037,0.0,0.0,8629.0,6832.0,1.0
ν_naa,7.007,6.891,0.04,20.31,0.078,0.145,6907.0,5484.0,1.0
NAA_ratio_control_mean,1.076,0.052,0.974,1.178,0.001,0.001,4710.0,5349.0,1.0
NAA_ratio_acute_mean,1.133,0.009,1.115,1.152,0.0,0.0,10064.0,6317.0,1.0
NAA_ratio_chronic_mean,1.002,0.027,0.949,1.055,0.0,0.0,15845.0,6886.0,1.0
Δξ,0.201,0.148,-0.084,0.498,0.001,0.002,9790.0,7295.0,1.0
