,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
xi_acute,0.0,0.0,0.0,0.0,0.0,0.0,6560.0,4888.0,1.0
xi_chronic,0.0,0.0,0.0,0.0,0.0,0.0,6984.0,5177.0,1.0
beta_xi,1.902,0.468,1.049,2.792,0.006,0.006,7255.0,4785.0,1.0
gamma_coh,1.55,0.468,0.62,2.376,0.005,0.005,7780.0,5227.0,1.0
viral_damage_acute,0.953,0.045,0.869,1.0,0.001,0.001,5662.0,4246.0,1.0
viral_damage_chronic,0.901,0.091,0.73,1.0,0.001,0.001,6955.0,4938.0,1.0
membrane_acute,2.076,0.474,1.155,2.94,0.005,0.005,7396.0,4159.0,1.0
membrane_chronic,1.335,0.215,1.0,1.712,0.002,0.002,7857.0,4871.0,1.0
Pi_acute,2.968,1.216,1.191,5.168,0.014,0.013,6651.0,5704.0,1.0
Pi_chronic,1.033,0.137,0.802,1.289,0.002,0.001,7047.0,5736.0,1.0
protection_ratio,2.919,1.268,1.049,5.103,0.015,0.015,6741.0,6173.0,1.0
