Study,Phase,Region,Metabolite,Mean,SE,n,SourceFile,publication_year,art_era,art_era_idx,phase_norm,study,study_id,naa_cr_mean,cho_cr_mean,naa_cr_se,mu_fitted_mean
Young_2014,Acute,AC,NAA/Cr,1.28,0.009,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,acute,Young_2014,3,1.28,,0.009,1.2750293472115537
Young_2014,Acute,BG,NAA/Cr,1.15,0.01,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,acute,Young_2014,3,1.15,,0.01,1.2750293472115537
Young_2014,Acute,FWM,NAA/Cr,1.35,0.01,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,acute,Young_2014,3,1.35,,0.01,1.2750293472115537
Sailasuta et al. 2016,Acute,BG,NAA/Cr,1.13,0.03,31,bg_combined_with_winston_dahmani.csv,,unknown,-1,acute,Sailasuta et al. 2016,1,1.13,,0.03,1.144327667124043
Young_2014,Acute,PGM,NAA/Cr,1.3,0.009,53,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,acute,Young_2014,3,1.3,,0.009,1.2750293472115537
Sailasuta et al. 2016,Chronic,BG,NAA/Cr,1.0,0.03,26,bg_combined_with_winston_dahmani.csv,,unknown,-1,chronic,Sailasuta et al. 2016,1,1.0,,0.03,1.0388305828149438
Mohamed et al. 2010,Chronic,BG,NAA/Cr,1.0,0.09,26,bg_combined_with_winston_dahmani.csv,,unknown,-1,chronic,Mohamed et al. 2010,0,1.0,,0.09,1.0366986930041275
Sailasuta_2012,Chronic,OGM,NAA/Cr,1.415,0.023533936216582,26,Sailasuta_2012.csv,,unknown,-1,chronic,Sailasuta_2012,2,1.415,,0.023533936216582,1.3268578017650636
Young_2014,Chronic,FWM,NAA/Cr,1.15,0.013,18,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,chronic,Young_2014,3,1.15,,0.013,1.1583823132506503
Young_2014,Control,FWM,NAA/Cr,1.35,0.024,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,control,Young_2014,3,1.35,,0.024,1.26725232301716
Young_2014,Control,AC,NAA/Cr,1.22,0.019,19,YOUNG_2014_CROSS_SECTIONAL_DATA.csv,,unknown,-1,control,Young_2014,3,1.22,,0.019,1.26725232301716
Mohamed et al. 2010,Control,BG,NAA/Cr,1.08,0.11,18,bg_combined_with_winston_dahmani.csv,,unknown,-1,control,Mohamed et al. 2010,0,1.08,,0.11,1.134918939240871
Sailasuta_2012,Control,OGM,NAA/Cr,1.428,0.0379473319220205,10,Sailasuta_2012.csv,,unknown,-1,control,Sailasuta_2012,2,1.428,,0.0379473319220205,1.451651952561663
