,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
coh_exp,2.0721,0.469,1.2622,2.9997,0.0048,0.0034,9220.1105,9894.8224,1.0003
xi_exp,0.3646,0.1691,0.0528,0.6785,0.0018,0.0013,8150.2977,6101.4253,1.0009
deloc_exp,0.2059,0.0934,0.0246,0.3721,0.0009,0.0008,9419.137,5216.8786,1.0008
NAA_base,1.1883,0.0681,1.0689,1.3229,0.0006,0.0005,11578.8789,9480.3287,1.0
k_turnover,0.0232,0.0059,0.0113,0.0341,0.0001,0.0001,9395.2002,5923.6788,1.0003
astrocyte_comp,1.1799,0.047,1.0947,1.2714,0.0004,0.0004,14350.9406,9646.6331,1.0007
sigma_NAA,0.0536,0.031,0.0057,0.1083,0.0005,0.0003,2975.1322,1559.002,1.0014
sigma_Cho,0.0064,0.0033,0.0019,0.0125,0.0,0.0,10661.1266,13313.5181,1.0005
xi_healthy_nm,0.5312,0.0538,0.4278,0.6282,0.0006,0.0006,10371.8712,9472.268,1.0005
xi_acute_nm,0.4996,0.0461,0.4132,0.585,0.0005,0.0004,9229.4121,4823.919,1.0004
xi_chronic_nm,0.7142,0.0823,0.5613,0.8638,0.0007,0.0006,12647.4676,11350.2135,1.0003
xi_floor_nm,0.4023,0.0692,0.2756,0.5,0.0007,0.0005,11168.9954,9960.3788,1.0001
xi_ceiling_nm,0.8059,0.095,0.6397,0.9825,0.0008,0.0006,11830.6487,8151.2901,1.0
delta_xi,0.0,0.0,0.0,0.0,0.0,0.0,11245.2672,13010.8133,1.0006
coh_healthy_eff,0.7485,0.0353,0.6817,0.8159,0.0004,0.0003,7132.3197,7238.829,1.0013
coh_acute_eff,0.7633,0.0327,0.7047,0.8258,0.0004,0.0002,5968.4449,7151.678,1.0009
coh_chronic_eff,0.6562,0.0081,0.65,0.6714,0.0001,0.0001,10463.09,8478.7635,1.0001
