Phase,study,art_era,NAA_mean_observed,NAA_SE_observed,NAA_mean_predicted
Acute,Young_2014,unknown,1.28,0.009,1.2707304812117541
Acute,Young_2014,unknown,1.15,0.01,1.2703034830948337
Acute,Young_2014,unknown,1.35,0.01,1.272905307356121
Acute,Sailasuta et al. 2016,unknown,1.13,0.03,1.1281771577544915
Acute,Young_2014,unknown,1.3,0.009,1.2717294733914628
Chronic,Sailasuta et al. 2016,unknown,1.0,0.03,1.026764211679844
Chronic,Mohamed et al. 2010,unknown,1.0,0.09,1.0876362827431907
Chronic,Sailasuta_2012,unknown,1.415,0.023533936216582,1.3746153254297453
Chronic,Young_2014,unknown,1.15,0.013,1.1589911496256
Control,Young_2014,unknown,1.35,0.024,1.2579107885476684
Control,Young_2014,unknown,1.22,0.019,1.2603249615857433
Control,Mohamed et al. 2010,unknown,1.08,0.11,1.1706856289782257
Control,Sailasuta_2012,unknown,1.428,0.0379473319220205,1.492033085420152
