Phase,study,art_era,NAA_mean_observed,NAA_SE_observed,NAA_mean_predicted
Acute,Young_2014,unknown,1.28,0.009,1.2722596910584227
Acute,Young_2014,unknown,1.15,0.01,1.2726299399706158
Acute,Young_2014,unknown,1.35,0.01,1.27273265057496
Acute,Sailasuta et al. 2016,unknown,1.13,0.03,1.1285261599506087
Acute,Young_2014,unknown,1.3,0.009,1.2726527324727834
Chronic,Sailasuta et al. 2016,unknown,1.0,0.03,1.0251749498142229
Chronic,Mohamed et al. 2010,unknown,1.0,0.09,1.0832017358197872
Chronic,Sailasuta_2012,unknown,1.415,0.023533936216582,1.3763874088891017
Chronic,Young_2014,unknown,1.15,0.013,1.1579329415632702
Control,Young_2014,unknown,1.35,0.024,1.2584147479508148
Control,Young_2014,unknown,1.22,0.019,1.2580417443650274
Control,Mohamed et al. 2010,unknown,1.08,0.11,1.1780099710006358
Control,Sailasuta_2012,unknown,1.428,0.0379473319220205,1.4957230865384628
