Phase,study,art_era,NAA_mean_observed,NAA_SE_observed,NAA_mean_predicted
Acute,Young_2014,unknown,1.28,0.009,1.2726880403225014
Acute,Young_2014,unknown,1.15,0.01,1.2728047072949582
Acute,Young_2014,unknown,1.35,0.01,1.2730373291241852
Acute,Sailasuta et al. 2016,unknown,1.13,0.03,1.1283048409438736
Acute,Young_2014,unknown,1.3,0.009,1.2723361680732515
Chronic,Sailasuta et al. 2016,unknown,1.0,0.03,1.026340029639674
Chronic,Mohamed et al. 2010,unknown,1.0,0.09,1.0805444777240976
Chronic,Sailasuta_2012,unknown,1.415,0.023533936216582,1.3755182246662678
Chronic,Young_2014,unknown,1.15,0.013,1.1576622423374416
Control,Young_2014,unknown,1.35,0.024,1.2584111833862062
Control,Young_2014,unknown,1.22,0.019,1.2583185293102679
Control,Mohamed et al. 2010,unknown,1.08,0.11,1.1779229418782617
Control,Sailasuta_2012,unknown,1.428,0.0379473319220205,1.497435277984208
