Phase,study,art_era,NAA_mean_observed,NAA_SE_observed,NAA_mean_predicted
Acute,Young_2014,post_modern,1.28,0.009,1.271837037024161
Acute,Young_2014,post_modern,1.15,0.01,1.2722027799654156
Acute,Young_2014,post_modern,1.35,0.01,1.2724270217288451
Acute,Sailasuta et al. 2016,post_modern,1.13,0.03,1.126576250296722
Acute,Young_2014,post_modern,1.3,0.009,1.272474219775195
Chronic,Sailasuta et al. 2016,post_modern,1.0,0.03,1.025024238002125
Chronic,Mohamed et al. 2010,post_modern,1.0,0.09,1.0709432189489743
Chronic,Sailasuta_2012,post_modern,1.415,0.023533936216582,1.3755201659418739
Chronic,Young_2014,post_modern,1.15,0.013,1.1583384151654135
Control,Young_2014,post_modern,1.35,0.024,1.2577916832586398
Control,Young_2014,post_modern,1.22,0.019,1.2572885187626555
Control,Mohamed et al. 2010,post_modern,1.08,0.11,1.162809164890779
Control,Sailasuta_2012,post_modern,1.428,0.0379473319220205,1.4942207328059305
