Phase,study,art_era,NAA_mean_observed,NAA_SE_observed,NAA_mean_predicted
Acute,Young_2014,post_modern,1.28,0.009,1.2718251102034928
Acute,Young_2014,post_modern,1.15,0.01,1.2727260691444497
Acute,Young_2014,post_modern,1.35,0.01,1.2727490618437192
Acute,Sailasuta et al. 2016,post_modern,1.13,0.03,1.1262077613860955
Acute,Young_2014,post_modern,1.3,0.009,1.2724861249026427
Chronic,Sailasuta et al. 2016,post_modern,1.0,0.03,1.0257123192880961
Chronic,Mohamed et al. 2010,post_modern,1.0,0.09,1.0721605296478018
Chronic,Sailasuta_2012,post_modern,1.415,0.023533936216582,1.374149637606479
Chronic,Young_2014,post_modern,1.15,0.013,1.1583626153917306
Control,Young_2014,post_modern,1.35,0.024,1.2566562674926074
Control,Young_2014,post_modern,1.22,0.019,1.2572085448376364
Control,Mohamed et al. 2010,post_modern,1.08,0.11,1.1570167375539373
Control,Sailasuta_2012,post_modern,1.428,0.0379473319220205,1.4928980278087247
